                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.81854,                0.58533,                 1.2234,                0.93349,                0.88926,                0.92217,                0.65875,                 1.0045,                 0.6044,                  1.474,             0.00098187,             0.00098187,             0.00098187
                     67,                0.79337,                0.56675,                   1.22,                 0.9098,                 0.8963,                0.93028,                0.68291,                 1.0095,                0.58228,                 1.4844,             0.00097775,             0.00097775,             0.00097775
                     68,                0.80057,                0.56641,                 1.2224,                0.92624,                0.83524,                0.91252,                0.66468,                 1.0345,                0.65216,                 1.5209,             0.00097362,             0.00097362,             0.00097362
                     69,                0.80196,                0.56441,                 1.2271,                0.93135,                 0.8857,                0.92014,                0.67164,                0.99149,                0.58746,                 1.4899,              0.0009695,              0.0009695,              0.0009695
                     70,                0.80153,                0.57297,                 1.2296,                0.94996,                0.86825,                0.92316,                0.67431,                 1.0005,                0.60552,                 1.4704,             0.00096537,             0.00096537,             0.00096537
                     71,                0.78326,                 0.5503,                 1.2142,                0.94116,                 0.8725,                0.92623,                0.68183,                0.97535,                0.56998,                 1.4552,             0.00096125,             0.00096125,             0.00096125
                     72,                0.79581,                0.55524,                 1.2243,                0.94006,                0.87351,                0.92681,                0.66868,                 1.0427,                 0.5978,                 1.4969,             0.00095712,             0.00095712,             0.00095712
                     73,                0.79534,                0.55622,                 1.2233,                0.92886,                0.86302,                 0.9157,                0.66311,                 1.0293,                0.63108,                 1.5235,               0.000953,               0.000953,               0.000953
                     74,                0.78146,                0.53587,                 1.2058,                0.92051,                0.90381,                 0.9378,                0.68187,                0.99316,                0.55298,                 1.4512,             0.00094887,             0.00094887,             0.00094887
                     75,                0.79571,                0.53705,                 1.2129,                  0.934,                0.87937,                0.92796,                 0.6619,                 1.0192,                0.57136,                  1.504,             0.00094475,             0.00094475,             0.00094475
                     76,                0.77225,                0.53069,                 1.2048,                0.93088,                0.86831,                 0.9065,                0.66369,                 1.0005,                0.58316,                  1.507,             0.00094062,             0.00094062,             0.00094062
                     77,                 0.7602,                0.52739,                 1.1984,                0.95443,                0.87007,                0.92003,                0.66197,                 1.0581,                0.62816,                 1.5416,              0.0009365,              0.0009365,              0.0009365
                     78,                0.78207,                 0.5364,                 1.2062,                0.88942,                0.89075,                0.91768,                0.66179,                  1.075,                0.61043,                 1.5514,             0.00093238,             0.00093238,             0.00093238
                     79,                0.78024,                0.54197,                 1.2083,                 0.9372,                0.87849,                0.91334,                0.67663,                0.99058,                0.58687,                 1.4914,             0.00092825,             0.00092825,             0.00092825
                     80,                0.76884,                0.51688,                 1.1973,                0.95972,                0.87979,                0.92585,                0.67087,                 1.0267,                0.57797,                 1.5167,             0.00092413,             0.00092413,             0.00092413
